Selected,Département,Selected (1),place per habitant,capacité du public,capacité du privée,formation total,%public,%prive,Population - First value
No,Lot,No,0.00321935,552,56,608,90.7895,9.21053,171463
No,Lot-et-Garonne,No,0.00473847,1579,159,1738,90.8516,9.14845,333230
No,Lozère,No,0.00405497,306,461,767,39.8957,60.1043,75463
No,Maine-et-Loire,No,0.00880638,7227,4636,11863,60.9205,39.0795,820655
No,Manche,No,0.00289151,1437,298,1735,82.8242,17.1758,496972
No,Marne,No,0.0145363,8333,1474,9807,84.9699,15.0301,573253
No,Martinique,No,0.0116742,4334,644,4978,87.0631,12.9369,371246
No,Mayenne,No,0.00323841,992,867,1859,53.362,46.638,306323
No,Mayotte,No,0.00614692,1593,8,1601,99.5003,0.499688,259154
No,Meurthe-et-Moselle,No,0.0158563,11624,889,12513,92.8954,7.10461,733085
No,Meuse,No,0.00217749,408,66,474,86.0759,13.9241,187372
No,Morbihan,No,0.0062863,4737,1480,6217,76.1943,23.8057,753543
No,Moselle,No,0.00815554,8470,786,9256,91.5082,8.49179,1038558
No,Nièvre,No,0.00407882,840,165,1005,83.5821,16.4179,205942
No,Nord,No,0.0126743,33129,13856,46985,70.5097,29.4903,2613874
No,Oise,No,0.00365854,3036,917,3953,76.8024,23.1976,829839
No,Orne,No,0.00347237,981,455,1436,68.3148,31.6852,282516
No,Paris,No,0.0233004,50526,12575,63101,80.0716,19.9284,2168462
No,Pas-de-Calais,No,0.00692001,10208,1772,11980,85.2087,14.7913,1475142
No,Puy-de-Dôme,No,0.0161161,10559,981,11540,91.4991,8.50087,655185
No,Pyrénées-Atlantiques,No,0.00857663,5808,1055,6863,84.6277,15.3723,677189
No,Pyrénées-Orientales,No,0.00643808,3104,318,3422,90.7072,9.29281,482131
No,Rhône,No,0.0183415,34447,10469,44916,76.692,23.308,1878095
No,Sarthe,No,0.00774562,4391,619,5010,87.6447,12.3553,566901
No,Savoie,No,0.00791922,3435,151,3586,95.7892,4.21082,433755
No,Saône-et-Loire,No,0.00355794,1968,177,2145,91.7483,8.25175,553129
No,Seine-Maritime,No,0.012233,15377,2275,17652,87.1119,12.8881,1257009
No,Seine-Saint-Denis,No,0.0090134,14837,903,15740,94.263,5.73698,1646105
No,Seine-et-Marne,No,0.0061937,8812,460,9272,95.0388,4.96117,1422736
No,Somme,No,0.0158069,9013,971,9984,90.2744,9.72556,570195
No,Tarn,No,0.00613903,2409,286,2695,89.3878,10.6122,392407
No,Tarn-et-Garonne,No,0.0023307,612,126,738,82.9268,17.0732,262582
No,Territoire de Belfort,No,0.0093716,1354,186,1540,87.9221,12.0779,144479
No,Val-d'Oise,No,0.0060833,7560,1656,9216,82.0312,17.9688,1242746
No,Val-de-Marne,No,0.00911986,12779,3362,16141,79.1711,20.8289,1401228
No,Var,No,0.00533106,5714,779,6493,88.0025,11.9975,1071832
No,Vaucluse,No,0.00725142,4105,321,4426,92.7474,7.2526,566096
No,Vendée,No,0.00239198,1627,2315,3942,41.2735,58.7265,680191
No,Vienne,No,0.0309447,13558,372,13930,97.3295,2.6705,438136
No,Vosges,No,0.00375199,1369,173,1542,88.7808,11.2192,364873
No,Yonne,No,0.00227311,769,119,888,86.5991,13.4009,338303
No,Yvelines,No,0.00529393,7615,2595,10210,74.5837,25.4163,1438440
